repseq	Y_OTUS	domain	phylum	class	order	family	genus	species
823|510	Y_OTU_18	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina mikolae
823|585	Y_OTU_372	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
823|7617	Y_OTU_392	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon loubieri
823|8382	Y_OTU_390	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia reukaufii
826|3057	Y_OTU_181	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps purpurea
826|3464	Y_OTU_55	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	unclassified_Davidiella
826|4061	Y_OTU_339	Fungi	Ascomycota	Sordariomycetes	Sordariomycetidae_Incertae sedis	Plectosphaerellaceae	Verticillium	Verticillium leptobactrum
826|6500	Y_OTU_84	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
826|8116	Y_OTU_268	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Davidiella	Cladosporium perangustum
827|1930	Y_OTU_274	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus oeirensis
827|4271	Y_OTU_336	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
827|4641	Y_OTU_108	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
827|477	Y_OTU_376	Fungi	Ascomycota	Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes
827|5950	Y_OTU_245	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	Crocicreas cyathoideum
829|1568	Y_OTU_330	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	unclassified_Preussia
829|3042	Y_OTU_170	Fungi	Ascomycota	Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes	unclassified_Dothideomycetes
829|5564	Y_OTU_373	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_Incertae sedis	Candida	Candida subhashii
829|7169	Y_OTU_306	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
829|7205	Y_OTU_256	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_Incertae sedis	Geosmithia	unclassified_Geosmithia
830|4614	Y_OTU_282	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
830|4639	Y_OTU_340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unclassified_Didymellaceae	unclassified_Didymellaceae
830|5254	Y_OTU_7	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
830|5256	Y_OTU_174	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	unclassified_Phialocephala
830|5375	Y_OTU_398	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis	unclassified_Tremellales_Incertae sedis
830|542	Y_OTU_297	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	unclassified_Gibberella
830|5918	Y_OTU_178	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema prunorum
830|6280	Y_OTU_251	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
830|783	Y_OTU_21	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
841|1778	Y_OTU_118	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
841|396	Y_OTU_331	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unclassified_Mycosphaerella
841|4697	Y_OTU_307	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium equiseti
841|488	Y_OTU_5	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pseudochaete	Pseudochaete tabacina
845|2948	Y_OTU_85	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
845|3789	Y_OTU_219	Fungi	Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota	unclassified_Basidiomycota
845|5504	Y_OTU_48	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria polycarpa
846|158	Y_OTU_49	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmiellus	unclassified_Marasmiellus
846|371	Y_OTU_56	Fungi	Basidiomycota	Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes	unclassified_Agaricomycetes
846|4265	Y_OTU_79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
846|5061	Y_OTU_223	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
846|5067	Y_OTU_283	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_Incertae sedis	Rhodotorula	Rhodotorula colostri
846|67	Y_OTU_29	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon rogersii
847|3128	Y_OTU_239	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Massarina	Massarina igniaria
